Cidade,UF,Populacao,Domicilios,Populacao urbana,Renda media,Empresas CNPJ relacionadas,Desentupidoras Google,Empresas Google Maps,Concorrentes com site,Concorrentes 24h,Total de avaliacoes,Media das avaliacoes,Maior numero de avaliacoes,Google Ads,Concorrencia SEO,Busca desentupidora,Busca desentupimento,Busca limpa fossa,Saneamento,Rede de esgoto,Distancia da cidade grande (km),Quantidade de cidades proximas,Area potencial de atendimento,Preco medio,Potencial residencial,Potencial comercial,Potencial industrial,Potencial condominios,Nota concorrencia,Nota demanda,Nota mercado,Nota oportunidade,Observacoes,Nota Oportunidade Parcial (Pop x %Saneamento),Ranking Parcial
Serrinha,BA,84690,,,,,,,,,,,,,,,,,"7,91","18,99",,,,,,,,,,,,,,6699,382
Chapadinha,MA,84395,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Curvelo,MG,84297,,,,,,,,,,,,,,,,,"71,62","331,1",,,,,,,,,,,,,,60374,157
São Sebastião,SP,84280,,,,,,,,,,,,,,,,,"57,71",279,,,,,,,,,,,,,,48638,208
Timóteo,MG,84172,,,,,,,,,,,,,,,,,"92,36","237,61",,,,,,,,,,,,,,77741,113
Belo Jardim,PE,84033,,,,,,,,,,,,,,,,,"29,04",165,,,,,,,,,,,,,,24403,294
Bayeux,PB,83862,,,,,,,,,,,,,,,,,"7,6","35,13",,,,,,,,,,,,,,6374,384
João Monlevade,MG,83791,,,,,,,,,,,,,,,,,"95,7","331,72",,,,,,,,,,,,,,80188,107
Biguaçu,SC,83756,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Ceará-Mirim,RN,83543,,,,,,,,,,,,,,,,,"15,51","42,8",,,,,,,,,,,,,,12958,351
Carpina,PE,83482,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Cianorte,PR,82988,,,,,,,,,,,,,,,,,"70,31","296,75",,,,,,,,,,,,,,58349,167
Arcoverde,PE,82487,,,,,,,,,,,,,,,,,"4,63","13,45",,,,,,,,,,,,,,3819,399
Três Rios,RJ,82319,,,,,,,,,,,,,,,,,"91,85",590,,,,,,,,,,,,,,75610,118
Alfenas,MG,82303,,,,,,,,,,,,,,,,,"83,54","403,81",,,,,,,,,,,,,,68756,136
Cachoeira do Sul,RS,82222,,,,,,,,,,,,,,,,,"36,93","168,25",,,,,,,,,,,,,,30365,270
Eusébio,CE,82016,,,,,,,,,,,,,,,,,"9,12","35,9",,,,,,,,,,,,,,7480,379
Goianira,GO,81495,,,,,,,,,,,,,,,,,"21,1","100,06",,,,,,,,,,,,,,17195,327
Barbalha,CE,81441,,,,,,,,,,,,,,,,,"6,46","46,34",,,,,,,,,,,,,,5261,388
São Roque,SP,81366,,,,,,,,,,,,,,,,,"48,65","202,73",,,,,,,,,,,,,,39585,244
Lagoa Santa,MG,81299,,,,,,,,,,,,,,,,,"43,8","296,69",,,,,,,,,,,,,,35609,257
Horizonte,CE,81161,,,,,,,,,,,,,,,,,"7,84","65,65",,,,,,,,,,,,,,6363,385
Matão,SP,81075,,,,,,,,,,,,,,,,,"95,16",383,,,,,,,,,,,,,,77151,114
Tefé,AM,80137,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Crateús,CE,80130,,,,,,,,,,,,,,,,,"30,7","208,22",,,,,,,,,,,,,,24600,291
Campo Limpo Paulista,SP,79781,,,,,,,,,,,,,,,,,"65,95","189,25",,,,,,,,,,,,,,52616,189
Viçosa,MG,79517,,,,,,,,,,,,,,,,,"88,85","229,4",,,,,,,,,,,,,,70651,129
Santa Rosa,RS,79488,,,,,,,,,,,,,,,,,"33,37","98,25",,,,,,,,,,,,,,26525,280
Aracati,CE,79205,,,,,,,,,,,,,,,,,"12,89","58,07",,,,,,,,,,,,,,10210,369
Santa Izabel do Pará,PA,79195,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Santo Ângelo,RS,79146,,,,,,,,,,,,,,,,,"29,64","68,35",,,,,,,,,,,,,,23459,302
Vinhedo,SP,79089,,,,,,,,,,,,,,,,,"87,14","359,97",,,,,,,,,,,,,,68918,135
Viana,ES,79043,,,,,,,,,,,,,,,,,"32,49","119,02",,,,,,,,,,,,,,25681,285
Irecê,BA,78781,,,,,,,,,,,,,,,,,"13,9","25,42",,,,,,,,,,,,,,10951,365
Gaspar,SC,78344,,,,,,,,,,,,,,,,,"2,15","5,04",,,,,,,,,,,,,,1684,416
Três Corações,MG,78291,,,,,,,,,,,,,,,,,"80,65","326,02",,,,,,,,,,,,,,63142,151
Bebedouro,SP,78257,,,,,,,,,,,,,,,,,"97,59",733,,,,,,,,,,,,,,76371,115
Esteio,RS,78144,,,,,,,,,,,,,,,,,"57,59","214,57",,,,,,,,,,,,,,45003,225
Senhor do Bonfim,BA,78090,,,,,,,,,,,,,,,,,"63,18","113,56",,,,,,,,,,,,,,49337,203
Goianésia,GO,78009,,,,,,,,,,,,,,,,,"84,21","161,18",,,,,,,,,,,,,,65691,146
Sapiranga,RS,77935,,,,,,,,,,,,,,,,,"4,54","29,11",,,,,,,,,,,,,,3538,401
Ouro Preto,MG,77914,,,,,,,,,,,,,,,,,"53,2","464,28",,,,,,,,,,,,,,41450,238
Indaial,SC,77888,,,,,,,,,,,,,,,,,"32,73","20,04",,,,,,,,,,,,,,25493,286
Ibiúna,SP,77801,,,,,,,,,,,,,,,,,"14,19","55,77",,,,,,,,,,,,,,11040,364
Telêmaco Borba,PR,77479,,,,,,,,,,,,,,,,,"96,32","289,44",,,,,,,,,,,,,,74628,121
Rio do Sul,SC,77451,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Canindé,CE,77376,,,,,,,,,,,,,,,,,"20,51","27,8",,,,,,,,,,,,,,15870,334
Cascavel,CE,76866,,,,,,,,,,,,,,,,,"2,3","5,67",,,,,,,,,,,,,,1768,414
Lins,SP,76844,,,,,,,,,,,,,,,,,"97,31","214,51",,,,,,,,,,,,,,74777,119
Grajaú,MA,76837,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Araranguá,SC,76611,,,,,,,,,,,,,,,,,"20,62","65,5",,,,,,,,,,,,,,15797,336
Cruzeiro,SP,76444,,,,,,,,,,,,,,,,,"96,37","296,96",,,,,,,,,,,,,,73669,123
Caçador,SC,76298,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Casa Nova,BA,76131,,,,,,,,,,,,,,,,,"42,69",180,,,,,,,,,,,,,,32500,264
Alenquer,PA,75882,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Rolândia,PR,75818,,,,,,,,,,,,,,,,,"60,27","271,5",,,,,,,,,,,,,,45696,223
Castro,PR,75644,,,,,,,,,,,,,,,,,"79,38","278,62",,,,,,,,,,,,,,60046,160
Pirassununga,SP,75594,,,,,,,,,,,,,,,,,"89,02",497,,,,,,,,,,,,,,67294,141
Pacajus,CE,75454,,,,,,,,,,,,,,,,,"2,17","2,84",,,,,,,,,,,,,,1637,417
Capanema,PA,75309,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Dias d'Ávila,BA,75296,,,,,,,,,,,,,,,,,"50,59","103,47",,,,,,,,,,,,,,38092,249
Tailândia,PA,75290,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Santo Antônio do Descoberto,GO,75221,,,,,,,,,,,,,,,,,"58,43","63,02",,,,,,,,,,,,,,43952,230
São Sebastião do Paraíso,MG,75179,,,,,,,,,,,,,,,,,"80,99","358,51",,,,,,,,,,,,,,60887,155
Campo Formoso,BA,75112,,,,,,,,,,,,,,,,,"3,35","2,69",,,,,,,,,,,,,,2516,406
Mineiros,GO,74999,,,,,,,,,,,,,,,,,"93,43",485,,,,,,,,,,,,,,70072,132
Itupeva,SP,74994,,,,,,,,,,,,,,,,,"66,98","83,85",,,,,,,,,,,,,,50231,199
Candeias,BA,74854,,,,,,,,,,,,,,,,,"42,89","177,01",,,,,,,,,,,,,,32105,265
Russas,CE,74834,,,,,,,,,,,,,,,,,"17,34","56,99",,,,,,,,,,,,,,12976,350
Brumado,BA,74368,,,,,,,,,,,,,,,,,"6,13","17,57",,,,,,,,,,,,,,4559,393
Alegrete,RS,74285,,,,,,,,,,,,,,,,,"21,54","72,89",,,,,,,,,,,,,,16001,332
Itapira,SP,74038,,,,,,,,,,,,,,,,,"95,14","324,31",,,,,,,,,,,,,,70440,131
Barra do Garças,MT,73878,,,,,,,,,,,,,,,,,"68,01","190,02",,,,,,,,,,,,,,50244,198
Palmeira dos Índios,AL,73621,,,,,,,,,,,,,,,,,"3,33",5,,,,,,,,,,,,,,2452,409
Coari,AM,73576,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Janaúba,MG,73555,,,,,,,,,,,,,,,,,"24,39","106,31",,,,,,,,,,,,,,17940,324
Fernandópolis,SP,73508,,,,,,,,,,,,,,,,,"92,92","347,91",,,,,,,,,,,,,,68304,139
Jaboticabal,SP,73473,,,,,,,,,,,,,,,,,"97,75","254,94",,,,,,,,,,,,,,71820,126
Tabatinga,AM,73348,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Tomé-Açu,PA,73058,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Oriximiná,PA,72889,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Farroupilha,RS,72552,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Itaitinga,CE,72512,,,,,,,,,,,,,,,,,"0,57","2,32",,,,,,,,,,,,,,413,430
Conceição do Coité,BA,71601,,,,,,,,,,,,,,,,,"3,04","6,73",,,,,,,,,,,,,,2177,410
Valença,RJ,71449,,,,,,,,,,,,,,,,,"28,03",30,,,,,,,,,,,,,,20027,316
Formiga,MG,70897,,,,,,,,,,,,,,,,,"84,84",275,,,,,,,,,,,,,,60149,159
Venâncio Aires,RS,70842,,,,,,,,,,,,,,,,,"12,54","20,25",,,,,,,,,,,,,,8884,373
Cabedelo,PB,70734,,,,,,,,,,,,,,,,,"37,19","43,51",,,,,,,,,,,,,,26306,283
Peruíbe,SP,70629,,,,,,,,,,,,,,,,,"70,82","483,02",,,,,,,,,,,,,,50019,201
Sousa,PB,70066,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Amparo,SP,69792,,,,,,,,,,,,,,,,,"72,85","238,5",,,,,,,,,,,,,,50843,196
Porto Nacional,TO,69551,,,,,,,,,,,,,,,,,"60,52","330,86",,,,,,,,,,,,,,42092,233
Igarapé-Miri,PA,69446,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Mococa,SP,69372,,,,,,,,,,,,,,,,,"83,81","173,85",,,,,,,,,,,,,,58141,169
Acaraú,CE,69317,,,,,,,,,,,,,,,,,"4,66","22,87",,,,,,,,,,,,,,3230,402
Benevides,PA,68962,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Embu-Guaçu,SP,68913,,,,,,,,,,,,,,,,,"38,23","145,65",,,,,,,,,,,,,,26345,282
Bom Jesus da Lapa,BA,68866,,,,,,,,,,,,,,,,,"32,07",690,,,,,,,,,,,,,,22085,310
Iranduba,AM,68862,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Itapetinga,BA,68724,,,,,,,,,,,,,,,,,"93,08","181,85",,,,,,,,,,,,,,63968,150
Extremoz,RN,68584,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Lençóis Paulista,SP,68568,,,,,,,,,,,,,,,,,"95,81",278,,,,,,,,,,,,,,65695,145
Ouricuri,PE,68489,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Itaberaba,BA,68425,,,,,,,,,,,,,,,,,"43,53","24,46",,,,,,,,,,,,,,29785,272
Barreirinhas,MA,68234,,,,,,,,,,,,,,,,,"7,11","22,75",,,,,,,,,,,,,,4851,390
Piripiri,PI,67887,,,,,,,,,,,,,,,,,"20,14","73,14",,,,,,,,,,,,,,13672,349
Monte Mor,SP,67832,,,,,,,,,,,,,,,,,"79,79","174,1",,,,,,,,,,,,,,54123,184
Surubim,PE,67821,,,,,,,,,,,,,,,,,"21,19","169,47",,,,,,,,,,,,,,14371,342
Cataguases,MG,67732,,,,,,,,,,,,,,,,,"75,69","188,85",,,,,,,,,,,,,,51266,195
Portel,PA,67580,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Bertioga,SP,67436,,,,,,,,,,,,,,,,,"60,28","258,73",,,,,,,,,,,,,,40650,240
Januária,MG,67123,,,,,,,,,,,,,,,,,"15,72","107,94",,,,,,,,,,,,,,10552,368
Estância,SE,67060,,,,,,,,,,,,,,,,,"10,7","11,72",,,,,,,,,,,,,,7175,381
Cristalina,GO,66827,,,,,,,,,,,,,,,,,"35,93","82,57",,,,,,,,,,,,,,24011,299
Cajazeiras,PB,66585,,,,,,,,,,,,,,,,,"17,13","23,05",,,,,,,,,,,,,,11406,361
Montenegro,RS,66352,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Maués,AM,66336,,,,,,,,,,,,,,,,,"19,3",30,,,,,,,,,,,,,,12803,353
Capão da Canoa,RS,66234,,,,,,,,,,,,,,,,,"51,46","84,26",,,,,,,,,,,,,,34084,259
Vacaria,RS,66146,,,,,,,,,,,,,,,,,"96,81",330,,,,,,,,,,,,,,64036,149
Salgueiro,PE,65946,,,,,,,,,,,,,,,,,"37,54","112,08",,,,,,,,,,,,,,24756,290
Mirassol,SP,65811,,,,,,,,,,,,,,,,,"93,6",372,,,,,,,,,,,,,,61599,154
Pesqueira,PE,65481,,,,,,,,,,,,,,,,,"75,11",210,,,,,,,,,,,,,,49183,204
Tupã,SP,65433,,,,,,,,,,,,,,,,,"89,44","315,15",,,,,,,,,,,,,,58523,165
Morada Nova,CE,65390,,,,,,,,,,,,,,,,,"2,14",4,,,,,,,,,,,,,,1399,423
Camocim,CE,65251,,,,,,,,,,,,,,,,,"37,02",104,,,,,,,,,,,,,,24156,296
Pedro Leopoldo,MG,65174,,,,,,,,,,,,,,,,,"64,22","198,08",,,,,,,,,,,,,,41855,234
Bezerros,PE,65007,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Mongaguá,SP,64845,,,,,,,,,,,,,,,,,"81,55","350,11",,,,,,,,,,,,,,52881,188
Euclides da Cunha,BA,64768,,,,,,,,,,,,,,,,,"12,65","46,6",,,,,,,,,,,,,,8193,376
Icó,CE,64745,,,,,,,,,,,,,,,,,"21,25",49,,,,,,,,,,,,,,13758,348
Campo Bom,RS,64719,,,,,,,,,,,,,,,,,"0,14","6,73",,,,,,,,,,,,,,91,435
Tauá,CE,64655,,,,,,,,,,,,,,,,,"6,07","19,09",,,,,,,,,,,,,,3925,398
São Félix do Xingu,PA,64651,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Nova Odessa,SP,64596,,,,,,,,,,,,,,,,,"92,05","295,56",,,,,,,,,,,,,,59461,161
Mariana,MG,64506,,,,,,,,,,,,,,,,,"85,65","217,5",,,,,,,,,,,,,,55249,177
Floriano,PI,64393,,,,,,,,,,,,,,,,,"24,59","64,22",,,,,,,,,,,,,,15834,335
Monte Alegre,PA,64002,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Camaquã,RS,63961,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Boituva,SP,63850,,,,,,,,,,,,,,,,,"70,23","248,37",,,,,,,,,,,,,,44842,226
Novo Repartimento,PA,63796,,,,,,,,,,,,,,,,,"3,88","12,53",,,,,,,,,,,,,,2475,407
Carazinho,RS,63670,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Içara,SC,63489,,,,,,,,,,,,,,,,,"19,16","48,73",,,,,,,,,,,,,,12164,357
Nova Mutum,MT,63455,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Humaitá,AM,63454,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Penápolis,SP,63426,,,,,,,,,,,,,,,,,"93,5","299,06",,,,,,,,,,,,,,59303,162
Caicó,RN,63338,,,,,,,,,,,,,,,,,"24,37","59,42",,,,,,,,,,,,,,15435,338
Cruz das Almas,BA,63326,,,,,,,,,,,,,,,,,"48,37","158,64",,,,,,,,,,,,,,30631,269
Acará,PA,63110,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Viçosa do Ceará,CE,62972,,,,,,,,,,,,,,,,,"30,39","30,91",,,,,,,,,,,,,,19137,320
Rolim de Moura,RO,62959,,,,,,,,,,,,,,,,,"2,26","25,09",,,,,,,,,,,,,,1423,421
Dom Eliseu,PA,62823,,,,,,,,,,,,,,,,,"0,53","2,5",,,,,,,,,,,,,,333,431
Limoeiro do Norte,CE,62623,,,,,,,,,,,,,,,,,"26,92","72,65",,,,,,,,,,,,,,16858,329
Marechal Deodoro,AL,62477,,,,,,,,,,,,,,,,,"25,44",67,,,,,,,,,,,,,,15894,333
Jaguariúna,SP,62309,,,,,,,,,,,,,,,,,"93,53",209,,,,,,,,,,,,,,58278,168
Itapecuru Mirim,MA,62264,,,,,,,,,,,,,,,,,"10,25","10,76",,,,,,,,,,,,,,6382,383
Viseu,PA,62189,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Escada,PE,62174,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Alta Floresta,MT,62158,,,,,,,,,,,,,,,,,"37,98",123,,,,,,,,,,,,,,23608,301
Ibitinga,SP,62143,,,,,,,,,,,,,,,,,"91,29","210,76",,,,,,,,,,,,,,56730,174
Trairi,CE,62004,,,,,,,,,,,,,,,,,"2,62","20,95",,,,,,,,,,,,,,1625,419
Itamaraju,BA,61999,,,,,,,,,,,,,,,,,"59,3","29,67",,,,,,,,,,,,,,36765,251
Registro,SP,61927,,,,,,,,,,,,,,,,,"72,69","227,97",,,,,,,,,,,,,,45015,224
Andradina,SP,61625,,,,,,,,,,,,,,,,,"89,16",316,,,,,,,,,,,,,,54945,181
Coroatá,MA,61337,,,,,,,,,,,,,,,,,"6,16",6,,,,,,,,,,,,,,3778,400
São Borja,RS,61311,,,,,,,,,,,,,,,,,"20,2","62,75",,,,,,,,,,,,,,12385,356
Frutal,MG,61275,,,,,,,,,,,,,,,,,"77,02","268,33",,,,,,,,,,,,,,47194,215
Cosmópolis,SP,61167,,,,,,,,,,,,,,,,,"89,92",192,,,,,,,,,,,,,,55001,180
Irati,PR,61004,,,,,,,,,,,,,,,,,"87,7","305,81",,,,,,,,,,,,,,53501,186
União dos Palmares,AL,60860,,,,,,,,,,,,,,,,,"97,4","212,5",,,,,,,,,,,,,,59278,163
Cruz Alta,RS,60454,,,,,,,,,,,,,,,,,"21,02","59,43",,,,,,,,,,,,,,12707,354
Capitão Poço,PA,60318,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Penedo,AL,60185,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
São Gabriel,RS,60090,,,,,,,,,,,,,,,,,"51,77",108,,,,,,,,,,,,,,31109,267
Guarabira,PB,60057,,,,,,,,,,,,,,,,,"55,47","77,25",,,,,,,,,,,,,,33314,261
Batatais,SP,59939,,,,,,,,,,,,,,,,,"87,31",284,,,,,,,,,,,,,,52333,190
Paudalho,PE,59924,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Cachoeiras de Macacu,RJ,59861,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Ponte Nova,MG,59638,,,,,,,,,,,,,,,,,"96,88","384,5",,,,,,,,,,,,,,57777,172
Extrema,MG,59336,,,,,,,,,,,,,,,,,"41,24","98,73",,,,,,,,,,,,,,24470,293
Limoeiro,PE,59236,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Ipirá,BA,59222,,,,,,,,,,,,,,,,,"25,81","65,92",,,,,,,,,,,,,,15285,340
Rio Bonito,RJ,59126,,,,,,,,,,,,,,,,,"77,7",210,,,,,,,,,,,,,,45941,220
Açu,RN,59099,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Videira,SC,59074,,,,,,,,,,,,,,,,,"0,4","1,43",,,,,,,,,,,,,,236,433
Santa Luzia,MA,58839,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Marechal Cândido Rondon,PR,58734,,,,,,,,,,,,,,,,,"30,25","167,97",,,,,,,,,,,,,,17767,325
Tijucas,SC,58695,,,,,,,,,,,,,,,,,"41,74",90,,,,,,,,,,,,,,24499,292
Porto Feliz,SP,58605,,,,,,,,,,,,,,,,,"96,4","166,32",,,,,,,,,,,,,,56495,175
Santo Amaro,BA,58398,,,,,,,,,,,,,,,,,"42,67","72,66",,,,,,,,,,,,,,24918,289
São Gonçalo do Amarante,CE,58191,,,,,,,,,,,,,,,,,"10,9","107,81",,,,,,,,,,,,,,6343,386
Manicoré,AM,58018,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Medianeira,PR,57910,,,,,,,,,,,,,,,,,"42,05","132,26",,,,,,,,,,,,,,24351,295
Xinguara,PA,57768,,,,,,,,,,,,,,,,,"2,83","32,98",,,,,,,,,,,,,,1635,418
Pirapora,MG,57713,,,,,,,,,,,,,,,,,"46,46","148,85",,,,,,,,,,,,,,26813,279
Moreno,PE,57654,,,,,,,,,,,,,,,,,"36,1","84,15",,,,,,,,,,,,,,20813,313
São Gabriel da Cachoeira,AM,57396,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Mafra,SC,57262,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Imbituba,SC,57256,,,,,,,,,,,,,,,,,"5,48","10,34",,,,,,,,,,,,,,3138,403
Três Pontas,MG,57209,,,,,,,,,,,,,,,,,"96,21","223,01",,,,,,,,,,,,,,55041,179
Rondon do Pará,PA,57031,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Canoinhas,SC,56948,,,,,,,,,,,,,,,,,"15,82","51,26",,,,,,,,,,,,,,9009,372
Olímpia,SP,56874,,,,,,,,,,,,,,,,,"93,05","259,32",,,,,,,,,,,,,,52921,187
Baião,PA,56850,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Buriticupu,MA,56733,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
São Francisco do Sul,SC,56726,,,,,,,,,,,,,,,,,"29,9","73,6",,,,,,,,,,,,,,16961,328
União da Vitória,PR,56560,,,,,,,,,,,,,,,,,"42,49","113,54",,,,,,,,,,,,,,24032,297
Palmares,PE,56475,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Tramandaí,RS,56430,,,,,,,,,,,,,,,,,"26,63","54,91",,,,,,,,,,,,,,15027,341
Itabirito,MG,56369,,,,,,,,,,,,,,,,,"82,72","224,59",,,,,,,,,,,,,,46628,216
Ribeira do Pombal,BA,56316,,,,,,,,,,,,,,,,,"2,16","2,17",,,,,,,,,,,,,,1216,425
Beberibe,CE,55977,,,,,,,,,,,,,,,,,"7,14","18,51",,,,,,,,,,,,,,3997,396
São Miguel do Guamá,PA,55970,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Granja,CE,55809,,,,,,,,,,,,,,,,,"5,38","1,86",,,,,,,,,,,,,,3003,404
Pontes e Lacerda,MT,55762,,,,,,,,,,,,,,,,,"58,48",123,,,,,,,,,,,,,,32610,263
Paraíso do Tocantins,TO,55704,,,,,,,,,,,,,,,,,"24,85","89,01",,,,,,,,,,,,,,13842,346
Jaru,RO,55682,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Óbidos,PA,55527,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Congonhas,MG,55272,,,,,,,,,,,,,,,,,"65,8","197,08",,,,,,,,,,,,,,36369,252
Santo Estêvão,BA,55146,,,,,,,,,,,,,,,,,"8,31","3,43",,,,,,,,,,,,,,4583,392
Tutóia,MA,55076,,,,,,,,,,,,,,,,,"2,48","3,43",,,,,,,,,,,,,,1366,424
Xanxerê,SC,54891,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Louveira,SP,54865,,,,,,,,,,,,,,,,,"88,62","202,62",,,,,,,,,,,,,,48621,210
Caetité,BA,54730,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Santa Isabel,SP,54691,,,,,,,,,,,,,,,,,"43,92","79,01",,,,,,,,,,,,,,24020,298
Bom Despacho,MG,54377,,,,,,,,,,,,,,,,,"81,92","246,95",,,,,,,,,,,,,,44546,228
Taquara,RS,54353,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Morrinhos,GO,54326,,,,,,,,,,,,,,,,,"66,82","200,3",,,,,,,,,,,,,,36301,253
Guapimirim,RJ,54311,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Piedade,SP,54266,,,,,,,,,,,,,,,,,"30,11","120,57",,,,,,,,,,,,,,16339,331
Juruti,PA,54255,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
São Francisco,MG,54223,,,,,,,,,,,,,,,,,"32,76","106,67",,,,,,,,,,,,,,17763,326
Brejo Santo,CE,54192,,,,,,,,,,,,,,,,,44,18,,,,,,,,,,,,,,23844,300
Vigia,PA,54062,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Campo Belo,MG,54027,,,,,,,,,,,,,,,,,"92,09","224,82",,,,,,,,,,,,,,49753,202
Porto Ferreira,SP,53966,,,,,,,,,,,,,,,,,"95,81","322,29",,,,,,,,,,,,,,51705,193
Lagoa da Prata,MG,53927,,,,,,,,,,,,,,,,,"88,63","274,75",,,,,,,,,,,,,,47796,212
Inhumas,GO,53884,,,,,,,,,,,,,,,,,"76,31","106,18",,,,,,,,,,,,,,41119,239
Barra,BA,53642,,,,,,,,,,,,,,,,,"42,88",180,,,,,,,,,,,,,,23002,306
Parobé,RS,53569,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Buíque,PE,53489,,,,,,,,,,,,,,,,,"85,44","31,05",,,,,,,,,,,,,,45701,222
Artur Nogueira,SP,53467,,,,,,,,,,,,,,,,,"86,48","168,5",,,,,,,,,,,,,,46238,219
Sapé,PB,53457,,,,,,,,,,,,,,,,,"16,54","24,36",,,,,,,,,,,,,,8842,374
São José do Rio Pardo,SP,53427,,,,,,,,,,,,,,,,,"97,71",258,,,,,,,,,,,,,,52204,191
Tremembé,SP,53426,,,,,,,,,,,,,,,,,"88,81","114,43",,,,,,,,,,,,,,47448,214
São Miguel dos Campos,AL,53380,,,,,,,,,,,,,,,,,"75,49",110,,,,,,,,,,,,,,40297,241
Ibiporã,PR,53276,,,,,,,,,,,,,,,,,"95,18","278,99",,,,,,,,,,,,,,50708,197
Taquaritinga,SP,53264,,,,,,,,,,,,,,,,,"92,23","277,3",,,,,,,,,,,,,,49125,205
Viana,MA,53176,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Naviraí,MS,53014,,,,,,,,,,,,,,,,,"37,33","143,95",,,,,,,,,,,,,,19790,317
Barra Velha,SC,52860,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Delmiro Gouveia,AL,52845,,,,,,,,,,,,,,,,,"56,24","186,4",,,,,,,,,,,,,,29720,273
Tobias Barreto,SE,52783,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
