Ranking,Cidade,UF,Populacao,NotaOportunidadeParcial,Status,SERP_Keyword,Sociais,Diretorios,Marketplaces,SitesProprios,TotalResultadosSERP,IndiceConcorrenciaFraca,BarraConcorrenciaFraca,NotaFinal,Observacoes
209,São Bento do Una,PE,51165,48622,🟡 livre,desentupidora São Bento do Una,0,0,0,8,8,0.0000,░░░░░░░░░░,48622,
210,Louveira,SP,54865,48621,🟡 livre,desentupidora Louveira,1,0,0,8,9,0.1111,█░░░░░░░░░,54023,
211,Brejo da Madre de Deus,PE,51308,48312,🟡 livre,desentupidora Brejo da Madre de Deus,0,0,0,9,9,0.0000,░░░░░░░░░░,48312,
212,Lagoa da Prata,MG,53927,47796,🟡 livre,desentupidora Lagoa da Prata,0,0,0,9,9,0.0000,░░░░░░░░░░,47796,
213,Tubarão,SC,116725,47472,🟡 livre,desentupidora Tubarão,2,1,0,7,10,0.3000,███░░░░░░░,61714,
214,Tremembé,SP,53426,47448,🟡 livre,desentupidora Tremembé,0,0,0,9,9,0.0000,░░░░░░░░░░,47448,
215,Frutal,MG,61275,47194,🟡 livre,desentupidora Frutal,4,0,0,5,9,0.4444,████░░░░░░,68169,
216,Itabirito,MG,56369,46628,🟡 livre,desentupidora Itabirito,1,0,0,8,9,0.1111,█░░░░░░░░░,51809,
217,Jales,SP,50078,46568,🟡 livre,desentupidora Jales,1,0,0,8,9,0.1111,█░░░░░░░░░,51742,
218,Novo Gama,GO,107663,46414,🟡 livre,desentupidora Novo Gama,1,0,0,8,9,0.1111,█░░░░░░░░░,51571,
219,Artur Nogueira,SP,53467,46238,🟡 livre,desentupidora Artur Nogueira,0,0,0,9,9,0.0000,░░░░░░░░░░,46238,
220,Rio Bonito,RJ,59126,45941,🟡 livre,desentupidora Rio Bonito,1,0,0,8,9,0.1111,█░░░░░░░░░,51046,
221,Guanambi,BA,93488,45716,🟡 livre,desentupidora Guanambi,1,0,0,8,9,0.1111,█░░░░░░░░░,50796,
222,Buíque,PE,53489,45701,🟡 livre,desentupidora Buíque,1,0,0,7,8,0.1250,█░░░░░░░░░,51414,
223,Rolândia,PR,75818,45696,🟡 livre,desentupidora Rolândia,1,1,0,7,9,0.2222,██░░░░░░░░,55851,
224,Registro,SP,61927,45015,🟡 livre,desentupidora Registro,1,0,0,7,8,0.1250,█░░░░░░░░░,50642,
225,Esteio,RS,78144,45003,🟡 livre,desentupidora Esteio,1,0,0,8,9,0.1111,█░░░░░░░░░,50003,
226,Boituva,SP,63850,44842,🟡 livre,desentupidora Boituva,1,0,0,8,9,0.1111,█░░░░░░░░░,49824,
227,Quirinópolis,GO,50329,44627,🟡 livre,desentupidora Quirinópolis,2,0,0,6,8,0.2500,███░░░░░░░,55784,
228,Bom Despacho,MG,54377,44546,🟡 livre,desentupidora Bom Despacho,2,0,0,7,9,0.2222,██░░░░░░░░,54445,
229,Campina Grande do Sul,PR,50600,43997,🟡 livre,desentupidora Campina Grande do Sul,1,0,0,8,9,0.1111,█░░░░░░░░░,48886,
230,Santo Antônio do Descoberto,GO,75221,43952,🟡 livre,desentupidora Santo Antônio do Descoberto,0,1,0,8,9,0.1111,█░░░░░░░░░,48836,
231,Guaxupé,MG,52744,43735,🟡 livre,desentupidora Guaxupé,1,2,0,7,10,0.3000,███░░░░░░░,56856,
232,Picos,PI,86701,42674,🟡 livre,desentupidora Picos,1,1,0,6,8,0.2500,███░░░░░░░,53343,
233,Porto Nacional,TO,69551,42092,🟡 livre,desentupidora Porto Nacional,2,0,1,6,9,0.3333,███░░░░░░░,56123,
234,Pedro Leopoldo,MG,65174,41855,🟡 livre,desentupidora Pedro Leopoldo,0,0,0,9,9,0.0000,░░░░░░░░░░,41855,
235,Simões Filho,BA,120419,41797,🟡 livre,desentupidora Simões Filho,0,0,0,9,9,0.0000,░░░░░░░░░░,41797,
236,Goiana,PE,85497,41654,🟡 livre,desentupidora Goiana,1,0,0,8,9,0.1111,█░░░░░░░░░,46282,
237,Rio das Ostras,RJ,168455,41558,🟡 livre,desentupidora Rio das Ostras,2,2,0,3,7,0.5714,██████░░░░,65305,
238,Ouro Preto,MG,77914,41450,🟡 livre,desentupidora Ouro Preto,1,0,0,8,9,0.1111,█░░░░░░░░░,46056,
239,Inhumas,GO,53884,41119,🟡 livre,desentupidora Inhumas,2,1,0,5,8,0.3750,████░░░░░░,56539,
240,Bertioga,SP,67436,40650,🟡 livre,desentupidora Bertioga,1,0,0,9,10,0.1000,█░░░░░░░░░,44715,
241,São Miguel dos Campos,AL,53380,40297,🟡 livre,desentupidora São Miguel dos Campos,0,0,0,9,9,0.0000,░░░░░░░░░░,40297,
242,São Gonçalo do Amarante,RN,124495,39764,🟡 livre,desentupidora São Gonçalo do Amarante,0,0,0,8,8,0.0000,░░░░░░░░░░,39764,
243,Palmas,PR,50238,39648,🟡 livre,desentupidora Palmas,2,1,0,6,9,0.3333,███░░░░░░░,52864,
244,São Roque,SP,81366,39585,🟡 livre,desentupidora São Roque,0,0,0,9,9,0.0000,░░░░░░░░░░,39585,
245,Ubatuba,SP,97096,38809,🟡 livre,desentupidora Ubatuba,1,0,0,8,9,0.1111,█░░░░░░░░░,43121,
246,Vitória de Santo Antão,PE,144243,38556,🟡 livre,desentupidora Vitória de Santo Antão,1,1,0,7,9,0.2222,██░░░░░░░░,47124,
247,Paulo Afonso,BA,119418,38548,🟡 livre,desentupidora Paulo Afonso,1,1,0,7,9,0.2222,██░░░░░░░░,47114,
248,Crato,CE,139027,38371,🟡 livre,desentupidora Crato,3,1,0,5,9,0.4444,████░░░░░░,55425,
249,Dias d'Ávila,BA,75296,38092,🟡 livre,desentupidora Dias d'Ávila,0,0,0,9,9,0.0000,░░░░░░░░░░,38092,
250,Araripina,PE,90504,37288,🟡 livre,desentupidora Araripina,2,0,0,6,8,0.2500,███░░░░░░░,46610,
251,Itamaraju,BA,61999,36765,🟡 livre,desentupidora Itamaraju,1,0,0,8,9,0.1111,█░░░░░░░░░,40850,
252,Congonhas,MG,55272,36369,🟡 livre,desentupidora Congonhas,1,0,0,8,9,0.1111,█░░░░░░░░░,40410,
253,Morrinhos,GO,54326,36301,🟡 livre,desentupidora Morrinhos,1,0,0,7,8,0.1250,█░░░░░░░░░,40839,
254,Cidade Ocidental,GO,101570,35824,🟡 livre,desentupidora Cidade Ocidental,2,0,0,8,10,0.2000,██░░░░░░░░,42989,
255,Lucas do Rio Verde,MT,95792,35759,🟡 livre,desentupidora Lucas do Rio Verde,2,0,0,7,9,0.2222,██░░░░░░░░,43705,
256,São Lourenço da Mata,PE,118258,35655,🟡 livre,desentupidora São Lourenço da Mata,2,1,0,6,9,0.3333,███░░░░░░░,47540,
257,Lagoa Santa,MG,81299,35609,🟡 livre,desentupidora Lagoa Santa,1,0,0,8,9,0.1111,█░░░░░░░░░,39566,
258,São Bento do Sul,SC,87661,35398,🟡 livre,desentupidora São Bento do Sul,2,0,0,7,9,0.2222,██░░░░░░░░,43264,
259,Capão da Canoa,RS,66234,34084,🟡 livre,desentupidora Capão da Canoa,0,0,0,9,9,0.0000,░░░░░░░░░░,34084,
260,Itaguaí,RJ,124021,33994,🟡 livre,desentupidora Itaguaí,1,1,0,8,10,0.2000,██░░░░░░░░,40793,
261,Guarabira,PB,60057,33314,🟡 livre,desentupidora Guarabira,1,0,0,7,8,0.1250,█░░░░░░░░░,37478,
262,Sant'Ana do Livramento,RS,87329,33010,🟡 livre,desentupidora Sant'Ana do Livramento,0,1,0,8,9,0.1111,█░░░░░░░░░,36678,
263,Pontes e Lacerda,MT,55762,32610,🟡 livre,desentupidora Pontes e Lacerda,2,0,0,7,9,0.2222,██░░░░░░░░,39857,
264,Casa Nova,BA,76131,32500,🟡 livre,desentupidora Casa Nova,1,0,0,7,8,0.1250,█░░░░░░░░░,36563,
265,Candeias,BA,74854,32105,🟡 livre,desentupidora Candeias,0,0,0,9,9,0.0000,░░░░░░░░░░,32105,
266,Mairiporã,SP,97835,31395,🟡 livre,desentupidora Mairiporã,0,0,0,9,9,0.0000,░░░░░░░░░░,31395,
267,São Gabriel,RS,60090,31109,🟡 livre,desentupidora São Gabriel,3,0,0,7,10,0.3000,███░░░░░░░,40442,
268,Mairinque,SP,51888,30884,🟡 livre,desentupidora Mairinque,0,0,0,9,9,0.0000,░░░░░░░░░░,30884,
269,Cruz das Almas,BA,63326,30631,🟡 livre,desentupidora Cruz das Almas,1,0,0,7,8,0.1250,█░░░░░░░░░,34460,
270,Cachoeira do Sul,RS,82222,30365,🟡 livre,desentupidora Cachoeira do Sul,2,1,0,5,8,0.3750,████░░░░░░,41752,
271,Guaíba,RS,95946,29849,🟡 livre,desentupidora Guaíba,1,0,0,8,9,0.1111,█░░░░░░░░░,33166,
272,Itaberaba,BA,68425,29785,🟡 livre,desentupidora Itaberaba,1,0,0,7,8,0.1250,█░░░░░░░░░,33508,
273,Delmiro Gouveia,AL,52845,29720,🟡 livre,desentupidora Delmiro Gouveia,1,0,0,7,8,0.1250,█░░░░░░░░░,33435,
274,Santa Cruz do Sul,RS,138270,29645,🟡 livre,desentupidora Santa Cruz do Sul,2,1,0,6,9,0.3333,███░░░░░░░,39527,
275,Pacatuba,CE,86564,27796,🟡 livre,desentupidora Pacatuba,1,0,0,7,8,0.1250,█░░░░░░░░░,31271,
276,Prudentópolis,PR,50946,27292,🟡 livre,desentupidora Prudentópolis,2,1,0,6,9,0.3333,███░░░░░░░,36389,
277,Canaã dos Carajás,PA,89524,27197,🟡 livre,desentupidora Canaã dos Carajás,2,0,0,8,10,0.2000,██░░░░░░░░,32636,
278,São Cristóvão,SE,101213,26832,🟡 livre,desentupidora São Cristóvão,0,0,0,9,9,0.0000,░░░░░░░░░░,26832,
279,Pirapora,MG,57713,26813,🟡 livre,desentupidora Pirapora,0,0,0,9,9,0.0000,░░░░░░░░░░,26813,
280,Santa Rosa,RS,79488,26525,🟡 livre,desentupidora Santa Rosa,2,0,0,7,9,0.2222,██░░░░░░░░,32419,
281,Barcarena,PA,139076,26438,🟡 livre,desentupidora Barcarena,1,1,0,6,8,0.2500,███░░░░░░░,33048,
282,Embu-Guaçu,SP,68913,26345,🟡 livre,desentupidora Embu-Guaçu,0,0,0,9,9,0.0000,░░░░░░░░░░,26345,
283,Cabedelo,PB,70734,26306,🟡 livre,desentupidora Cabedelo,2,0,0,7,9,0.2222,██░░░░░░░░,32152,
284,Sapucaia do Sul,RS,136572,25689,🟡 livre,desentupidora Sapucaia do Sul,0,0,0,9,9,0.0000,░░░░░░░░░░,25689,
285,Viana,ES,79043,25681,🟡 livre,desentupidora Viana,1,0,0,7,8,0.1250,█░░░░░░░░░,28891,
286,Indaial,SC,77888,25493,🟡 livre,desentupidora Indaial,2,0,0,6,8,0.2500,███░░░░░░░,31866,
287,Tangará da Serra,MT,114603,25476,🟡 livre,desentupidora Tangará da Serra,2,2,0,4,8,0.5000,█████░░░░░,38214,
288,Itapipoca,CE,138978,25391,🟡 livre,desentupidora Itapipoca,3,0,0,4,7,0.4286,████░░░░░░,36273,
289,Santo Amaro,BA,58398,24918,🟡 livre,desentupidora Santo Amaro,0,0,0,9,9,0.0000,░░░░░░░░░░,24918,
290,Salgueiro,PE,65946,24756,🟡 livre,desentupidora Salgueiro,1,0,0,7,8,0.1250,█░░░░░░░░░,27851,
291,Crateús,CE,80130,24600,🟡 livre,desentupidora Crateús,0,1,0,6,7,0.1429,█░░░░░░░░░,28114,
292,Tijucas,SC,58695,24499,🟡 livre,desentupidora Tijucas,1,0,0,7,8,0.1250,█░░░░░░░░░,27561,
293,Extrema,MG,59336,24470,🟡 livre,desentupidora Extrema,0,0,0,9,9,0.0000,░░░░░░░░░░,24470,
294,Belo Jardim,PE,84033,24403,🟡 livre,desentupidora Belo Jardim,0,0,0,8,8,0.0000,░░░░░░░░░░,24403,
295,Medianeira,PR,57910,24351,🟡 livre,desentupidora Medianeira,3,1,0,5,9,0.4444,████░░░░░░,35174,
296,Camocim,CE,65251,24156,🟡 livre,desentupidora Camocim,1,1,0,7,9,0.2222,██░░░░░░░░,29524,
297,União da Vitória,PR,56560,24032,🟡 livre,desentupidora União da Vitória,2,0,0,7,9,0.2222,██░░░░░░░░,29372,
298,Santa Isabel,SP,54691,24020,🟡 livre,desentupidora Santa Isabel,1,0,0,8,9,0.1111,█░░░░░░░░░,26689,
299,Cristalina,GO,66827,24011,🟡 livre,desentupidora Cristalina,1,0,0,9,10,0.1000,█░░░░░░░░░,26412,
300,Brejo Santo,CE,54192,23844,🟡 livre,desentupidora Brejo Santo,1,0,0,8,9,0.1111,█░░░░░░░░░,26493,
301,Alta Floresta,MT,62158,23608,🟡 livre,desentupidora Alta Floresta,2,1,0,6,9,0.3333,███░░░░░░░,31477,
302,Santo Ângelo,RS,79146,23459,🟡 livre,desentupidora Santo Ângelo,2,1,0,6,9,0.3333,███░░░░░░░,31279,
303,Abreu e Lima,PE,104248,23404,🟡 livre,desentupidora Abreu e Lima,1,0,0,8,9,0.1111,█░░░░░░░░░,26004,
304,Vargem Grande Paulista,SP,52352,23161,🟡 livre,desentupidora Vargem Grande Paulista,0,0,0,9,9,0.0000,░░░░░░░░░░,23161,
305,Itabaiana,SE,109250,23085,🟡 livre,desentupidora Itabaiana,1,1,0,6,8,0.2500,███░░░░░░░,28856,
306,Barra,BA,53642,23002,🟡 livre,desentupidora Barra,1,0,0,8,9,0.1111,█░░░░░░░░░,25558,
307,Santo Antônio de Jesus,BA,109791,22968,🟡 livre,desentupidora Santo Antônio de Jesus,2,1,0,6,9,0.3333,███░░░░░░░,30624,
308,Nova Lima,MG,120959,22922,🟡 livre,desentupidora Nova Lima,0,0,0,9,9,0.0000,░░░░░░░░░░,22922,
309,Mesquita,RJ,178830,22622,🟡 livre,desentupidora Mesquita,0,1,0,8,9,0.1111,█░░░░░░░░░,25136,
310,Bom Jesus da Lapa,BA,68866,22085,🟡 livre,desentupidora Bom Jesus da Lapa,0,1,0,8,9,0.1111,█░░░░░░░░░,24539,
311,Boa Viagem,CE,52133,21541,🟡 livre,desentupidora Boa Viagem,0,0,0,9,9,0.0000,░░░░░░░░░░,21541,
312,Araci,BA,50308,20973,🟡 livre,desentupidora Araci,0,0,0,8,8,0.0000,░░░░░░░░░░,20973,
313,Moreno,PE,57654,20813,🟡 livre,desentupidora Moreno,0,0,0,9,9,0.0000,░░░░░░░░░░,20813,
314,Ipojuca,PE,106539,20466,🟡 livre,desentupidora Ipojuca,0,0,0,9,9,0.0000,░░░░░░░░░░,20466,
315,Nova Andradina,MS,50848,20070,🟡 livre,desentupidora Nova Andradina,0,1,0,8,9,0.1111,█░░░░░░░░░,22300,
316,Valença,RJ,71449,20027,🟡 livre,desentupidora Valença,2,0,0,6,8,0.2500,███░░░░░░░,25034,
317,Naviraí,MS,53014,19790,🟡 livre,desentupidora Naviraí,1,1,0,7,9,0.2222,██░░░░░░░░,24188,
318,Ijuí,RS,87848,19546,🟡 livre,desentupidora Ijuí,1,0,0,7,8,0.1250,█░░░░░░░░░,21989,
319,Concórdia,SC,87206,19351,🟡 livre,desentupidora Concórdia,3,0,0,6,9,0.3333,███░░░░░░░,25801,
320,Viçosa do Ceará,CE,62972,19137,🟡 livre,desentupidora Viçosa do Ceará,1,0,0,8,9,0.1111,█░░░░░░░░░,21263,
321,Garanhuns,PE,151803,19051,🟡 livre,desentupidora Garanhuns,1,1,0,5,7,0.2857,███░░░░░░░,24494,
322,Gravatá,PE,92429,18717,🟡 livre,desentupidora Gravatá,2,0,0,7,9,0.2222,██░░░░░░░░,22876,
323,Canguçu,RS,50968,18089,🟡 livre,desentupidora Canguçu,1,0,0,4,5,0.2000,██░░░░░░░░,21707,
324,Janaúba,MG,73555,17940,🟡 livre,desentupidora Janaúba,1,0,0,8,9,0.1111,█░░░░░░░░░,19933,
325,Marechal Cândido Rondon,PR,58734,17767,🟡 livre,desentupidora Marechal Cândido Rondon,0,0,0,8,8,0.0000,░░░░░░░░░░,17767,
326,São Francisco,MG,54223,17763,🟡 livre,desentupidora São Francisco,1,0,0,8,9,0.1111,█░░░░░░░░░,19737,
327,Goianira,GO,81495,17195,🟡 livre,desentupidora Goianira,1,0,0,7,8,0.1250,█░░░░░░░░░,19344,
328,São Francisco do Sul,SC,56726,16961,🟡 livre,desentupidora São Francisco do Sul,2,0,0,7,9,0.2222,██░░░░░░░░,20730,
329,Limoeiro do Norte,CE,62623,16858,🟡 livre,desentupidora Limoeiro do Norte,2,0,0,6,8,0.2500,███░░░░░░░,21073,
330,Iguatu,CE,102588,16404,🟡 livre,desentupidora Iguatu,0,2,0,7,9,0.2222,██░░░░░░░░,20049,
331,Piedade,SP,54266,16339,🟡 livre,desentupidora Piedade,1,0,0,9,10,0.1000,█░░░░░░░░░,17973,
332,Alegrete,RS,74285,16001,🟡 livre,desentupidora Alegrete,1,0,0,7,8,0.1250,█░░░░░░░░░,18001,
333,Marechal Deodoro,AL,62477,15894,🟡 livre,desentupidora Marechal Deodoro,0,0,0,9,9,0.0000,░░░░░░░░░░,15894,
334,Canindé,CE,77376,15870,🟡 livre,desentupidora Canindé,1,0,0,8,9,0.1111,█░░░░░░░░░,17633,
335,Floriano,PI,64393,15834,🟡 livre,desentupidora Floriano,1,0,0,8,9,0.1111,█░░░░░░░░░,17593,
336,Araranguá,SC,76611,15797,🟡 livre,desentupidora Araranguá,2,1,0,6,9,0.3333,███░░░░░░░,21063,
337,Marituba,PA,119437,15467,🟡 livre,desentupidora Marituba,1,0,0,6,7,0.1429,█░░░░░░░░░,17677,
338,Caicó,RN,63338,15435,🟡 livre,desentupidora Caicó,1,0,0,7,8,0.1250,█░░░░░░░░░,17364,
339,Rio Largo,AL,97658,15410,🟡 livre,desentupidora Rio Largo,0,0,0,9,9,0.0000,░░░░░░░░░░,15410,
340,Ipirá,BA,59222,15285,🟡 livre,desentupidora Ipirá,1,0,0,8,9,0.1111,█░░░░░░░░░,16983,
341,Tramandaí,RS,56430,15027,🟡 livre,desentupidora Tramandaí,1,0,0,8,9,0.1111,█░░░░░░░░░,16697,
342,Surubim,PE,67821,14371,🟡 livre,desentupidora Surubim,2,0,0,6,8,0.2500,███░░░░░░░,17964,
343,Tianguá,CE,86968,14228,🟡 livre,desentupidora Tianguá,2,2,0,4,8,0.5000,█████░░░░░,21342,
344,Quixadá,CE,88846,14055,🟡 livre,desentupidora Quixadá,1,0,0,8,9,0.1111,█░░░░░░░░░,15617,
345,Coruripe,AL,51784,13940,🟡 livre,desentupidora Coruripe,1,0,0,7,8,0.1250,█░░░░░░░░░,15683,
346,Paraíso do Tocantins,TO,55704,13842,🟡 livre,desentupidora Paraíso do Tocantins,2,1,0,6,9,0.3333,███░░░░░░░,18456,
347,Patos,PB,108104,13783,🟡 livre,desentupidora Patos,2,2,0,6,10,0.4000,████░░░░░░,19296,
348,Icó,CE,64745,13758,🟡 livre,desentupidora Icó,1,0,0,8,9,0.1111,█░░░░░░░░░,15287,
349,Piripiri,PI,67887,13672,🟡 livre,desentupidora Piripiri,1,0,0,8,9,0.1111,█░░░░░░░░░,15191,
350,Russas,CE,74834,12976,🟡 livre,desentupidora Russas,1,0,0,8,9,0.1111,█░░░░░░░░░,14418,
351,Ceará-Mirim,RN,83543,12958,🟡 livre,desentupidora Ceará-Mirim,1,0,0,8,9,0.1111,█░░░░░░░░░,14398,
352,Maranguape,CE,108622,12850,🟡 livre,desentupidora Maranguape,1,2,0,4,7,0.4286,████░░░░░░,18357,
353,Maués,AM,66336,12803,🟡 livre,desentupidora Maués,1,0,0,8,9,0.1111,█░░░░░░░░░,14226,
354,Cruz Alta,RS,60454,12707,🟡 livre,desentupidora Cruz Alta,1,1,0,8,10,0.2000,██░░░░░░░░,15248,
355,Paragominas,PA,113498,12587,🟡 livre,desentupidora Paragominas,2,0,0,6,8,0.2500,███░░░░░░░,15734,
356,São Borja,RS,61311,12385,🟡 livre,desentupidora São Borja,1,0,0,8,9,0.1111,█░░░░░░░░░,13761,
357,Içara,SC,63489,12164,🟡 livre,desentupidora Içara,1,0,0,8,9,0.1111,█░░░░░░░░░,13516,
358,Eunápolis,BA,121067,12058,🟡 livre,desentupidora Eunápolis,2,1,0,6,9,0.3333,███░░░░░░░,16077,
359,Caxias,MA,163546,12004,🟡 livre,desentupidora Caxias,0,1,0,8,9,0.1111,█░░░░░░░░░,13338,
360,Aquiraz,CE,85316,11535,🟡 livre,desentupidora Aquiraz,1,1,0,7,9,0.2222,██░░░░░░░░,14098,
361,Cajazeiras,PB,66585,11406,🟡 livre,desentupidora Cajazeiras,0,0,0,9,9,0.0000,░░░░░░░░░░,11406,
362,Codó,MA,118283,11379,🟡 livre,desentupidora Codó,1,1,0,6,8,0.2500,███░░░░░░░,14224,
363,Jacobina,BA,86896,11105,🟡 livre,desentupidora Jacobina,1,0,0,7,8,0.1250,█░░░░░░░░░,12493,
364,Ibiúna,SP,77801,11040,🟡 livre,desentupidora Ibiúna,1,1,0,7,9,0.2222,██░░░░░░░░,13493,
365,Irecê,BA,78781,10951,🟡 livre,desentupidora Irecê,2,1,0,6,9,0.3333,███░░░░░░░,14601,
366,Nova Venécia,ES,52324,10941,🟡 livre,desentupidora Nova Venécia,0,0,0,9,9,0.0000,░░░░░░░░░░,10941,
367,Esmeraldas,MG,93103,10930,🟡 livre,desentupidora Esmeraldas,1,0,0,9,10,0.1000,█░░░░░░░░░,12023,
368,Januária,MG,67123,10552,🟡 livre,desentupidora Januária,1,1,0,7,9,0.2222,██░░░░░░░░,12897,
369,Aracati,CE,79205,10210,🟡 livre,desentupidora Aracati,1,0,0,7,8,0.1250,█░░░░░░░░░,11486,
370,Tucano,BA,51016,9397,🟡 livre,desentupidora Tucano,3,1,0,4,8,0.5000,█████░░░░░,14096,
371,Canela,RS,50715,9377,🟡 livre,desentupidora Canela,2,0,0,7,9,0.2222,██░░░░░░░░,11461,
372,Canoinhas,SC,56948,9009,🟡 livre,desentupidora Canoinhas,1,2,0,6,9,0.3333,███░░░░░░░,12012,
373,Venâncio Aires,RS,70842,8884,🟡 livre,desentupidora Venâncio Aires,2,0,0,6,8,0.2500,███░░░░░░░,11105,
374,Sapé,PB,53457,8842,🟡 livre,desentupidora Sapé,2,1,0,6,9,0.3333,███░░░░░░░,11789,
375,Lagarto,SE,105957,8243,🟡 livre,desentupidora Lagarto,1,2,0,5,8,0.3750,████░░░░░░,11334,
376,Euclides da Cunha,BA,64768,8193,🟡 livre,desentupidora Euclides da Cunha,0,0,0,10,10,0.0000,░░░░░░░░░░,8193,
377,Araquari,SC,52079,7963,🟡 livre,desentupidora Araquari,3,0,0,6,9,0.3333,███░░░░░░░,10617,
378,São Benedito,CE,50058,7614,🟡 livre,desentupidora São Benedito,0,0,0,9,9,0.0000,░░░░░░░░░░,7614,
379,Eusébio,CE,82016,7480,🟡 livre,desentupidora Eusébio,2,1,0,6,9,0.3333,███░░░░░░░,9973,
380,Cáceres,MT,91767,7286,🟡 livre,desentupidora Cáceres,1,1,0,7,9,0.2222,██░░░░░░░░,8905,
381,Estância,SE,67060,7175,🟡 livre,desentupidora Estância,0,1,0,8,9,0.1111,█░░░░░░░░░,7972,
382,Serrinha,BA,84690,6699,🟡 livre,desentupidora Serrinha,0,0,0,9,9,0.0000,░░░░░░░░░░,6699,
383,Itapecuru Mirim,MA,62264,6382,🟡 livre,desentupidora Itapecuru Mirim,0,0,0,9,9,0.0000,░░░░░░░░░░,6382,
384,Bayeux,PB,83862,6374,🟡 livre,desentupidora Bayeux,2,0,0,7,9,0.2222,██░░░░░░░░,7790,
385,Horizonte,CE,81161,6363,🟡 livre,desentupidora Horizonte,1,1,0,7,9,0.2222,██░░░░░░░░,7777,
386,São Gonçalo do Amarante,CE,58191,6343,🟡 livre,desentupidora São Gonçalo do Amarante,0,0,0,8,8,0.0000,░░░░░░░░░░,6343,
387,Santa Rita,PB,160852,5968,🟡 livre,desentupidora Santa Rita,1,0,0,8,9,0.1111,█░░░░░░░░░,6631,
388,Barbalha,CE,81441,5261,🟡 livre,desentupidora Barbalha,1,0,0,7,8,0.1250,█░░░░░░░░░,5919,
389,Igarassu,PE,123017,5191,🟡 livre,desentupidora Igarassu,1,1,1,6,9,0.3333,███░░░░░░░,6921,
390,Barreirinhas,MA,68234,4851,🟡 livre,desentupidora Barreirinhas,1,0,0,8,9,0.1111,█░░░░░░░░░,5390,
391,Bacabal,MA,107755,4827,🟡 livre,desentupidora Bacabal,1,1,0,7,9,0.2222,██░░░░░░░░,5900,
392,Santo Estêvão,BA,55146,4583,🟡 livre,desentupidora Santo Estêvão,1,0,0,9,10,0.1000,█░░░░░░░░░,5041,
393,Brumado,BA,74368,4559,🟡 livre,desentupidora Brumado,1,0,0,8,9,0.1111,█░░░░░░░░░,5066,
394,Senador Canedo,GO,175042,4499,🟡 livre,desentupidora Senador Canedo,1,1,0,7,9,0.2222,██░░░░░░░░,5499,
395,Redenção,PA,92694,4394,🟡 livre,desentupidora Redenção,1,0,0,8,9,0.1111,█░░░░░░░░░,4882,
396,Beberibe,CE,55977,3997,🟡 livre,desentupidora Beberibe,1,0,0,8,9,0.1111,█░░░░░░░░░,4441,
397,Balsas,MA,105974,3995,🟡 livre,desentupidora Balsas,1,0,0,8,9,0.1111,█░░░░░░░░░,4439,
398,Tauá,CE,64655,3925,🟡 livre,desentupidora Tauá,0,0,0,9,9,0.0000,░░░░░░░░░░,3925,
399,Arcoverde,PE,82487,3819,🟡 livre,desentupidora Arcoverde,1,1,0,7,9,0.2222,██░░░░░░░░,4668,
400,Coroatá,MA,61337,3778,🟡 livre,desentupidora Coroatá,2,0,0,7,9,0.2222,██░░░░░░░░,4618,
401,Sapiranga,RS,77935,3538,🟡 livre,desentupidora Sapiranga,0,0,0,9,9,0.0000,░░░░░░░░░░,3538,
402,Acaraú,CE,69317,3230,🟡 livre,desentupidora Acaraú,1,0,0,7,8,0.1250,█░░░░░░░░░,3634,
403,Imbituba,SC,57256,3138,🟡 livre,desentupidora Imbituba,1,0,0,7,8,0.1250,█░░░░░░░░░,3530,
404,Granja,CE,55809,3003,🟡 livre,desentupidora Granja,0,0,0,9,9,0.0000,░░░░░░░░░░,3003,
405,Macaíba,RN,87056,2525,🟡 livre,desentupidora Macaíba,1,0,0,8,9,0.1111,█░░░░░░░░░,2806,
406,Campo Formoso,BA,75112,2516,🟡 livre,desentupidora Campo Formoso,0,0,0,9,9,0.0000,░░░░░░░░░░,2516,
407,Novo Repartimento,PA,63796,2475,🟡 livre,desentupidora Novo Repartimento,0,0,0,8,8,0.0000,░░░░░░░░░░,2475,
408,Ariquemes,RO,109170,2456,🟡 livre,desentupidora Ariquemes,2,2,0,4,8,0.5000,█████░░░░░,3684,
409,Palmeira dos Índios,AL,73621,2452,🟡 livre,desentupidora Palmeira dos Índios,1,1,0,7,9,0.2222,██░░░░░░░░,2997,
410,Conceição do Coité,BA,71601,2177,🟡 livre,desentupidora Conceição do Coité,0,0,0,7,7,0.0000,░░░░░░░░░░,2177,
411,Altos,PI,50094,2109,🟡 livre,desentupidora Altos,1,0,0,8,9,0.1111,█░░░░░░░░░,2343,
412,Lajeado,RS,96879,2025,🟡 livre,desentupidora Lajeado,1,0,0,8,9,0.1111,█░░░░░░░░░,2250,
413,Camaragibe,PE,156112,1811,🟡 livre,desentupidora Camaragibe,1,0,0,8,9,0.1111,█░░░░░░░░░,2012,
414,Cascavel,CE,76866,1768,🟡 livre,desentupidora Cascavel,2,0,0,8,10,0.2000,██░░░░░░░░,2122,
415,Ji-Paraná,RO,140101,1723,🟡 livre,desentupidora Ji-Paraná,1,2,0,6,9,0.3333,███░░░░░░░,2297,
416,Gaspar,SC,78344,1684,🟡 livre,desentupidora Gaspar,1,0,0,8,9,0.1111,█░░░░░░░░░,1871,
